2015-12-07T17:29:39.371+0900 W -        [initandlisten] Detected unclean shutdown - /data/db/mongod.lock is not empty.
2015-12-07T17:36:11.514+0900 I NETWORK  [conn95] end connection 127.0.0.1:49933 (12 connections now open)
2015-12-07T17:36:11.514+0900 I NETWORK  [conn99] end connection 127.0.0.1:49937 (11 connections now open)
2015-12-07T17:36:11.514+0900 I NETWORK  [conn98] end connection 127.0.0.1:49936 (10 connections now open)
2015-12-07T17:36:11.514+0900 I NETWORK  [conn97] end connection 127.0.0.1:49935 (9 connections now open)
2015-12-07T17:36:11.514+0900 I NETWORK  [conn96] end connection 127.0.0.1:49934 (8 connections now open)
2015-12-07T17:36:12.575+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49964 #100 (9 connections now open)
2015-12-07T17:36:12.575+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49965 #101 (10 connections now open)
2015-12-07T17:36:12.575+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49966 #102 (11 connections now open)
2015-12-07T17:36:12.577+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49967 #103 (12 connections now open)
2015-12-07T17:36:12.577+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49968 #104 (13 connections now open)
2015-12-07T17:36:37.885+0900 I NETWORK  [conn104] end connection 127.0.0.1:49968 (12 connections now open)
2015-12-07T17:36:37.885+0900 I NETWORK  [conn103] end connection 127.0.0.1:49967 (11 connections now open)
2015-12-07T17:36:37.886+0900 I NETWORK  [conn101] end connection 127.0.0.1:49965 (10 connections now open)
2015-12-07T17:36:37.886+0900 I NETWORK  [conn102] end connection 127.0.0.1:49966 (9 connections now open)
2015-12-07T17:36:37.886+0900 I NETWORK  [conn100] end connection 127.0.0.1:49964 (8 connections now open)
2015-12-07T17:36:38.936+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49996 #105 (9 connections now open)
2015-12-07T17:36:38.938+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49997 #106 (10 connections now open)
2015-12-07T17:36:38.938+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49998 #107 (11 connections now open)
2015-12-07T17:36:38.938+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49999 #108 (12 connections now open)
2015-12-07T17:36:38.938+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:50000 #109 (13 connections now open)
